EDR3,l, b, d, ed, rv, erv, pml, epml, pmb, epmb, pmlpmbcorr, pmem, type
4403907187254487552,3.7643,40.4317,6.5,0.341,-13.601,2.16,-18.2962,0.0321,4.8964,0.0311,-0.0377,0.0,BHB
4416350600864416768,5.0256,40.6706,8.6,0.477,32.599,2.676,-5.6773,0.0435,4.781,0.0441,-0.2676,0.0,BHB
4416464606476457472,5.9466,40.9489,9.8,0.513,-2.699,2.602,-7.8692,0.0472,-6.1231,0.0458,-0.0522,0.0,BHB
4415923848618209280,3.794,40.7408,10.3,0.57,-83.2,2.339,-4.5373,0.0756,-1.5891,0.0721,-0.0178,0.0,BHB
3650292395633760256,352.0619,49.6771,33.7,1.808,-207.2,10.24,-1.8899,0.2068,-0.4702,0.2061,-0.1481,0.0,BHB
1334195340979548672,54.0893,34.2416,34.6,1.849,-149.1,9.025,-0.8202,0.1364,0.7799,0.1218,-0.1814,0.0,BHB
6340303530644914176,351.8987,48.5082,26.0,1.409,-69.8,7.971,-2.2051,0.3374,-0.4625,0.3362,0.2672,0.0,BHB
3650303601203361792,352.5765,49.6833,8.1,0.399,183.4,2.486,-8.3389,0.0458,0.4948,0.0479,-0.0544,0.0,BHB
3650232991940987904,352.641,49.2058,8.6,0.494,104.099,2.425,-3.1455,0.0504,2.1175,0.0455,-0.1744,0.0,BHB
4575642038701308416,52.1004,32.7151,14.4,0.758,-185.299,3.216,-3.0522,0.0489,0.3418,0.0483,-0.1244,0.0,BHB
4575116437784162304,49.7269,32.2969,17.3,0.947,-188.4,4.148,-1.8186,0.0657,1.5606,0.0553,0.1389,0.0,BHB
4575306000460786688,50.7965,31.9867,22.5,1.242,-73.7,5.592,-1.1478,0.0887,0.9528,0.0765,0.0261,0.0,BHB
4575458420259663360,50.7683,33.0782,8.5,0.471,-68.9,2.607,-3.4782,0.0295,2.2121,0.0271,-0.1051,0.0,BHB
1309111636754973696,52.6219,33.3935,16.9,0.917,-49.6,3.88,-0.5373,0.0519,1.8145,0.0526,-0.0783,0.0,BHB
828016716248053632,163.8334,48.274,11.7,0.63,-65.2,3.013,4.9556,0.0393,1.2839,0.0433,-0.0748,0.0,BHB
4414619346790473728,1.9477,42.293,8.0,0.431,-99.999,2.536,-6.6755,0.0543,-2.6028,0.0503,-0.1807,0.0,BHB
4414926179254202880,359.5875,43.8855,12.8,0.63,32.7,4.335,-5.4856,0.0914,-0.1527,0.0917,-0.0379,0.0,BHB
4414645979883459072,2.1632,42.535,8.2,0.424,-77.801,2.021,-7.2071,0.0506,3.7451,0.0525,0.1045,0.0,BHB
3648464461847344128,347.6108,50.5996,10.6,0.604,-137.399,2.447,-2.9507,0.0506,-4.8728,0.0495,-0.1811,0.0,BHB
