EDR3,l, b, d, ed, rv, erv, pml, epml, pmb, epmb, pmlpmbcorr, pmem, type, sgrb, r
2471477362128526336,140.562201,-71.870497,18.56,2.988,-140.399,1.402,0.0788,0.1072,-3.6184,0.1247,0.3767,0.99,KGiant,0.83,22.054446263735574
2470131628615921152,138.753177,-72.3368,22.97,4.06,-127.399,2.078,-0.3086,0.1296,-4.6421,0.1365,0.4433,0.986,KGiant,0.78,26.121852920495513
2471880161341064192,140.027759,-70.854822,26.92,4.06,-112.099,1.753,-0.0251,0.1814,-2.9996,0.2196,0.41,0.998,KGiant,-0.01,30.073473361086844
2471845595444213248,139.467797,-71.210883,25.47,2.994,-112.0,1.407,0.041,0.0976,-2.0666,0.1323,0.5097,0.984,KGiant,0.12,28.629825357483405
2472266326144536576,140.760652,-70.550706,31.61,4.664,-116.399,1.864,-0.3027,0.2095,-2.6536,0.2387,0.497,0.996,KGiant,-0.05,34.667080927012016
2463744114596917248,162.371693,-68.905236,26.84,5.501,-114.3,2.685,0.876,0.1089,-2.3703,0.1019,0.2969,0.993,KGiant,5.17,30.67059014756645
2464157019868312064,162.528112,-68.3276,29.28,6.237,-124.2,2.563,1.2991,0.1126,-2.3942,0.0998,0.4324,0.947,KGiant,4.98,33.10055890766801
2464771475069693952,158.944557,-69.057117,29.94,4.565,-100.7,1.44,0.9248,0.0864,-2.3741,0.084,0.3101,0.998,KGiant,4.13,33.60587151079406
2464703404132767744,156.954119,-69.737367,35.48,7.606,-115.0,3.685,0.9025,0.1517,-2.451,0.1283,0.419,0.967,KGiant,3.84,38.900523132729205
2464631012459079168,158.09726,-69.939304,16.14,3.01,-111.199,1.289,1.2468,0.0622,-3.7141,0.0533,0.5022,0.967,KGiant,4.28,20.34294472292544
2464837720645126144,156.457542,-69.133779,20.17,2.343,-130.999,1.056,1.1645,0.0572,-3.3196,0.0424,0.4849,0.996,KGiant,3.39,24.169017356938614
2465526594744167424,155.403061,-68.048877,22.61,4.203,-121.899,1.393,0.6274,0.0825,-2.7555,0.0733,0.3789,0.996,KGiant,2.51,26.581085380397845
2465498046097055232,156.122856,-67.96828,22.95,4.471,55.1,2.224,1.3713,0.1047,-2.3151,0.093,0.3278,0.993,KGiant,2.7,26.92056648735312
2465470833184272384,156.181393,-68.156528,20.09,3.671,-116.999,1.562,0.8438,0.1016,-2.9286,0.0967,0.3898,0.992,KGiant,2.81,24.187691084516523
2465066724005986304,156.141695,-68.691639,20.7,2.056,-114.8,0.732,0.7135,0.0435,-2.4352,0.039,0.3645,0.973,KGiant,3.07,24.70296540903541
2464875138400259584,156.996237,-68.575691,23.1,4.899,-107.799,1.827,0.973,0.1099,-2.8268,0.0909,0.3513,0.991,KGiant,3.28,27.0202849725905
2464871668066711040,157.213059,-68.574334,34.27,7.109,-110.4,1.941,0.4541,0.1285,-2.3076,0.1229,0.2497,0.989,KGiant,3.35,37.85293911970377
2464848470947944448,157.516072,-68.84595,23.77,3.019,-107.8,1.136,0.8254,0.0936,-2.3334,0.0878,0.3281,0.998,KGiant,3.58,27.646896751715193
2464850399388676608,157.815517,-68.79595,23.52,3.921,-97.999,1.44,1.1633,0.0789,-3.4008,0.0714,0.2566,0.994,KGiant,3.65,27.417266457471648
2465258863663063040,157.560069,-68.156432,26.44,4.251,-114.8,1.835,1.0834,0.1251,-2.3854,0.1085,0.3157,0.994,KGiant,3.26,30.28679250102262
2507187949314168832,159.151344,-57.474833,26.58,6.674,-151.9,2.765,1.0144,0.1337,-2.3191,0.1191,0.368,0.983,KGiant,-1.19,31.558328536220035
2507595558890388480,157.014401,-58.271712,32.49,7.061,-137.5,2.749,0.7931,0.1399,-1.6745,0.1184,0.3197,0.989,KGiant,-1.81,37.19798112801285
2507434583516170240,157.385765,-58.704794,27.68,4.578,-141.0,2.261,0.6782,0.1164,-2.0086,0.1023,0.3599,0.996,KGiant,-1.42,32.4615187568296
2507478632701207040,156.452557,-58.805538,23.9,4.672,-167.6,2.19,1.057,0.1527,-2.5264,0.1191,0.4023,0.992,KGiant,-1.79,28.760964865595174
2507483825316575232,156.036363,-58.836804,23.56,5.446,-155.4,2.022,0.8297,0.1042,-2.5136,0.0844,0.3301,0.99,KGiant,-1.96,28.418884566428712
2507868001551302656,156.230761,-57.488949,24.41,3.441,-178.8,1.619,0.9198,0.08,-2.3772,0.0784,0.2386,0.998,KGiant,-2.56,29.373162921279008
2508304572091867136,156.177269,-57.022871,24.64,4.494,-156.2,1.447,0.8811,0.0735,-2.2778,0.0676,0.3184,0.996,KGiant,-2.82,29.63968454622957
